word,high,low
knowing,3,10
meets,3,10
positive,3,10
placed,2,10
approximately,2,10
stained,2,10
upset,2,10
squirts,2,10
mix,2,10
saved,2,10
release,2,10
metal,2,10
snapped,2,10
uncomfortable,2,10
ago,2,10
afraid,1,10
eventually,1,10
fragranced,1,10
flaking,1,10
bottom,1,10
flaw,1,10
went,25,9
who,22,9
fit,18,9
took,18,9
overly,17,9
same,15,9
opportunity,14,9
watch,13,9
free,13,9
opening,12,9
rate,11,9
dried,11,9
sure,10,9
skin,9,9
cut,8,9
watched,8,9
hesitant,8,9
refillable,8,9
experiencing,7,9
having,6,9
looking,5,9
gel,5,9
actually,5,9
ruin,5,9
solid,5,9
allows,5,9
sad,5,9
typically,5,9
possibly,4,9
mixed,4,9
basically,4,9
wears,4,9
somewhere,4,9
voice,4,9
blow,4,9
interested,4,9
other,4,9
personally,3,9
sending,3,9
accidentally,3,9
clearly,3,9
particular,3,9
tons,3,9
color,3,9
given,3,9
prevent,3,9
duct,3,9
11,2,9
strongly,2,9
found,2,9
characters,2,9
ease,2,9
powdered,2,9
wrote,2,9
swear,2,9
now,2,9
obnoxious,2,9
connects,2,9
bright,1,9
bath,1,9
expected,1,9
clothing,1,9
joint,1,9
tough,1,9
fourth,1,9
reliable,1,9
upside,1,9
seemed,1,9
soon,1,9
shelves,1,9
holy,0,9
opinions,47,8
waiting,22,8
favorite,22,8
towards,16,8
mechanism,13,8
lower,13,8
soak,13,8
food,12,8
terms,12,8
sold,12,8
such,11,8
causes,11,8
tell,10,8
grew,9,8
taking,8,8
needs,8,8
significant,8,8
unnecessary,8,8
switch,8,8
love,7,8
allowed,6,8
dish,6,8
dries,6,8
repeat,6,8
forced,6,8
dandruff,6,8
load,5,8
24,5,8
complaints,5,8
neck,5,8
thus,5,8
smelling,5,8
confident,5,8
means,5,8
cord,5,8
hearing,5,8
covered,5,8
highly,5,8
tan,5,8
losing,4,8
suspect,4,8
guys,4,8
should,4,8
rich,4,8
stains,4,8
thickness,4,8
provides,3,8
rose,3,8
average,3,8
features,3,8
decide,3,8
me,3,8
snaps,3,8
much,3,8
before,3,8
potential,3,8
certainly,3,8
reviewing,3,8
earth,3,8
material,3,8
cookies,3,8
clothes,3,8
resorted,2,8
loud,2,8
shaft,2,8
careful,2,8
commercial,2,8
sales,2,8
lady,2,8
dripping,2,8
time,2,8
face,2,8
manual,2,8
wrapper,2,8
smelt,2,8
easy,2,8
perfumed,2,8
complaining,2,8
messed,2,8
goop,1,8
thing,1,8
shows,1,8
stale,1,8
60,1,8
rewash,1,8
sounded,1,8
moisture,1,8
arms,1,8
wall,1,8
nozzle,1,8
searched,1,8
hardwood,1,8
sick,1,8
bigger,1,8
layers,1,8
reusable,1,8
moisturiser,1,8
inside,1,8
curls,1,8
managed,1,8
pairs,1,8
separated,0,8
recommendations,0,8
exchanged,0,8
responses,0,8
ugly,0,8
continue,102,7
by,45,7
absorbed,24,7
fall,22,7
far,20,7
truly,19,7
side,17,7
high,13,7
control,13,7
washable,13,7
test,11,7
opened,11,7
require,10,7
make,10,7
scrub,10,7
yet,10,7
wipes,10,7
give,10,7
stick,9,7
additional,9,7
likely,8,7
seen,8,7
finished,8,7
dissolve,8,7
mention,8,7
bought,8,7
causing,8,7
shown,7,7
showing,7,7
changes,7,7
screw,7,7
laminate,7,7
brings,7,7
exactly,7,7
orange,7,7
generally,7,7
sample,7,7
she,7,7
question,6,7
specifically,6,7
do,6,7
underneath,6,7
ten,5,7
stays,5,7
darker,5,7
providing,5,7
fast,5,7
pour,5,7
worthy,5,7
sweat,5,7
checking,5,7
darn,5,7
coconut,5,7
becoming,5,7
surface,5,7
cap,5,7
pink,4,7
opposed,4,7
18,4,7
vacuum,4,7
various,4,7
gonna,4,7
glued,4,7
rush,4,7
shortly,4,7
month,4,7
min,4,7
handful,4,7
loyal,4,7
faded,4,7
covering,4,7
gone,3,7
liked,3,7
least,3,7
maintain,3,7
eye,3,7
previously,3,7
types,3,7
each,3,7
initial,3,7
excessive,3,7
sat,3,7
soaked,3,7
resolve,2,7
faithful,2,7
suitable,2,7
loss,2,7
cystic,2,7
instructions,2,7
spring,2,7
basic,2,7
nowhere,2,7
doubt,2,7
skip,2,7
glide,2,7
solve,2,7
pop,2,7
listen,2,7
swivel,2,7
triggers,2,7
missing,2,7
normal,2,7
attach,1,7
disolve,1,7
foam,1,7
storage,1,7
somehow,1,7
hundreds,1,7
introduced,1,7
ends,1,7
layer,1,7
action,1,7
competitors,1,7
formulated,1,7
repeated,1,7
collapses,1,7
lousy,1,7
thrilled,1,7
writing,1,7
research,1,7
suppose,1,7
push,1,7
scents,1,7
loading,1,7
